100, 2, 16, 3.84419, 0.142076, 1.78582, 1.91573, 3.73792e+06
100, 16, 16, 3.54538, 0.117232, 1.74525, 1.6828, 3.73792e+06
160, 2, 16, 3.32699, 0.176814, 1.84681, 1.30253, 4.83371e+06
160, 16, 16, 3.15251, 0.148211, 1.77857, 1.22563, 4.83371e+06
100, 2, 16, 3.47604, 0.139558, 1.79366, 1.54224, 3.73792e+06
100, 16, 16, 3.67132, 0.126137, 1.7483, 1.79677, 3.73792e+06
160, 2, 16, 5.58476, 0.184546, 1.85489, 3.5445, 4.83371e+06
160, 16, 16, 3.51792, 0.148021, 1.78372, 1.58606, 4.83371e+06
100, 2, 16, 3.18024, 0.144529, 1.79909, 1.23575, 3.73792e+06
100, 16, 16, 3.7175, 0.122223, 1.74899, 1.84615, 3.73792e+06
160, 2, 16, 3.88294, 0.175185, 1.8568, 1.85036, 4.83371e+06
160, 16, 16, 2.91742, 0.149151, 1.78459, 0.983571, 4.83371e+06
100, 2, 16, 3.79995, 0.14041, 1.80683, 1.85213, 3.73792e+06
100, 16, 16, 4.33662, 0.123165, 1.75212, 2.46121, 3.73792e+06
160, 2, 16, 3.30619, 0.175305, 1.85564, 1.27445, 4.83371e+06
160, 16, 16, 3.83398, 0.149819, 1.7825, 1.90155, 4.83371e+06
100, 2, 16, 3.80355, 0.138555, 1.80084, 1.86358, 3.73792e+06
100, 16, 16, 2.69203, 0.119953, 1.74953, 0.822416, 3.73792e+06
160, 2, 16, 3.22522, 0.175823, 1.85974, 1.18884, 4.83371e+06
160, 16, 16, 2.79182, 0.143842, 1.84434, 0.80349, 4.83371e+06
100, 2, 24, 3.56197, 0.167355, 1.28775, 2.10573, 3.73792e+06
100, 24, 24, 2.15474, 0.131264, 1.21044, 0.812906, 3.73792e+06
160, 2, 24, 2.8407, 0.203706, 1.35901, 1.27719, 4.83371e+06
160, 24, 24, 2.0826, 0.175897, 1.22954, 0.677043, 4.83371e+06
100, 2, 24, 2.67083, 0.16357, 1.26786, 1.2386, 3.73792e+06
100, 24, 24, 2.54351, 0.130862, 1.20022, 1.2123, 3.73792e+06
160, 2, 24, 2.79676, 0.201514, 1.33737, 1.25712, 4.83371e+06
160, 24, 24, 2.65752, 0.169292, 1.2268, 1.2613, 4.83371e+06
100, 2, 24, 2.40413, 0.162367, 1.27062, 0.970299, 3.73792e+06
100, 24, 24, 2.25801, 0.135135, 1.19185, 0.930924, 3.73792e+06
160, 2, 24, 2.60452, 0.202436, 1.34017, 1.06082, 4.83371e+06
160, 24, 24, 2.63477, 0.170105, 1.22513, 1.23942, 4.83371e+06
100, 2, 24, 2.66496, 0.16185, 1.26662, 1.23549, 3.73792e+06
100, 24, 24, 2.52254, 0.143443, 1.20703, 1.17191, 3.73792e+06
160, 2, 24, 3.14608, 0.202889, 1.34003, 1.60231, 4.83371e+06
160, 24, 24, 2.34073, 0.170001, 1.22627, 0.944307, 4.83371e+06
100, 2, 24, 2.70078, 0.162136, 1.28153, 1.25599, 3.73792e+06
100, 24, 24, 2.13803, 0.139237, 1.19223, 0.806408, 3.73792e+06
160, 2, 24, 3.12327, 0.201287, 1.3421, 1.57859, 4.83371e+06
160, 24, 24, 2.42326, 0.168987, 1.24157, 1.01254, 4.83371e+06
100, 2, 32, 2.15748, 0.140821, 0.959277, 1.05713, 3.73792e+06
100, 32, 32, 2.57631, 0.161044, 0.923997, 1.49107, 3.73792e+06
160, 2, 32, 2.21842, 0.177799, 1.02448, 1.01545, 4.83371e+06
160, 32, 32, 2.28333, 0.199822, 0.965047, 1.11829, 4.83371e+06
100, 2, 32, 3.34592, 0.137604, 0.967538, 2.24053, 3.73792e+06
100, 32, 32, 2.00434, 0.159729, 0.922618, 0.92189, 3.73792e+06
160, 2, 32, 2.62528, 0.177791, 1.02527, 1.42146, 4.83371e+06
160, 32, 32, 2.09195, 0.192427, 0.958896, 0.94048, 4.83371e+06
100, 2, 32, 2.30084, 0.140043, 0.962516, 1.19786, 3.73792e+06
100, 32, 32, 1.73865, 0.159487, 0.952263, 0.626771, 3.73792e+06
160, 2, 32, 2.23295, 0.17506, 1.02625, 1.03088, 4.83371e+06
160, 32, 32, 1.91932, 0.193012, 0.959511, 0.76662, 4.83371e+06
100, 2, 32, 3.33169, 0.138584, 0.963129, 2.22962, 3.73792e+06
100, 32, 32, 2.87694, 0.162625, 0.919322, 1.7949, 3.73792e+06
160, 2, 32, 3.05507, 0.173999, 1.05108, 1.82903, 4.83371e+06
160, 32, 32, 2.39163, 0.208779, 0.958316, 1.2244, 4.83371e+06
100, 2, 32, 2.50722, 0.137738, 0.965746, 1.40337, 3.73792e+06
100, 32, 32, 3.07427, 0.160246, 0.924695, 1.98922, 3.73792e+06
160, 2, 32, 2.66713, 0.180195, 1.02658, 1.45914, 4.83371e+06
160, 32, 32, 2.78653, 0.193757, 0.958938, 1.63367, 4.83371e+06
100, 2, 40, 2.75688, 0.174273, 0.846234, 1.73556, 3.73792e+06
100, 40, 40, 1.79461, 0.178448, 0.767522, 0.848476, 3.73792e+06
160, 2, 40, 2.13808, 0.238947, 0.957816, 0.939787, 4.83371e+06
160, 40, 40, 2.01479, 0.218534, 0.84909, 0.946976, 4.83371e+06
100, 2, 40, 2.01986, 0.189851, 0.906643, 0.922492, 3.73792e+06
100, 40, 40, 1.93548, 0.176434, 0.768896, 0.989996, 3.73792e+06
160, 2, 40, 2.03606, 0.242592, 1.08978, 0.7021, 4.83371e+06
160, 40, 40, 1.67254, 0.223499, 0.982576, 0.466304, 4.83371e+06
100, 2, 40, 1.95343, 0.177023, 0.841678, 0.933846, 3.73792e+06
100, 40, 40, 1.6712, 0.188084, 0.899979, 0.582953, 3.73792e+06
160, 2, 40, 2.44366, 0.232074, 1.09053, 1.11969, 4.83371e+06
160, 40, 40, 2.0711, 0.22221, 0.93317, 0.915535, 4.83371e+06
100, 2, 40, 2.29126, 0.175998, 0.846264, 1.26828, 3.73792e+06
100, 40, 40, 2.18035, 0.182419, 0.775548, 1.22222, 3.73792e+06
160, 2, 40, 2.09038, 0.224142, 0.927336, 0.937621, 4.83371e+06
160, 40, 40, 1.79649, 0.206678, 0.809733, 0.779938, 4.83371e+06
100, 2, 40, 1.90454, 0.187372, 1.00498, 0.711083, 3.73792e+06
100, 40, 40, 1.93839, 0.179898, 0.776271, 0.982034, 3.73792e+06
160, 2, 40, 2.35949, 0.235129, 1.1027, 1.02075, 4.83371e+06
160, 40, 40, 1.59652, 0.20918, 0.806764, 0.580447, 4.83371e+06
100, 2, 48, 2.06712, 0.155663, 0.725941, 1.18523, 3.73792e+06
100, 48, 48, 1.39049, 0.196434, 0.662695, 0.531169, 3.73792e+06
160, 2, 48, 1.6953, 0.208379, 0.80478, 0.681376, 4.83371e+06
160, 48, 48, 1.76791, 0.231526, 0.763788, 0.772379, 4.83371e+06
100, 2, 48, 2.05322, 0.159566, 0.737379, 1.15577, 3.73792e+06
100, 48, 48, 1.42342, 0.173517, 0.66169, 0.587875, 3.73792e+06
160, 2, 48, 1.96057, 0.207321, 0.808022, 0.94376, 4.83371e+06
160, 48, 48, 1.44464, 0.221951, 0.695667, 0.526845, 4.83371e+06
100, 2, 48, 1.52988, 0.158143, 0.728541, 0.642844, 3.73792e+06
100, 48, 48, 1.79471, 0.195476, 0.661123, 0.937917, 3.73792e+06
160, 2, 48, 1.87105, 0.22586, 0.848684, 0.795484, 4.83371e+06
160, 48, 48, 1.84641, 0.244887, 0.832642, 0.768681, 4.83371e+06
100, 2, 48, 1.53471, 0.161931, 0.732917, 0.639404, 3.73792e+06
100, 48, 48, 2.83311, 0.205181, 0.806384, 1.82122, 3.73792e+06
160, 2, 48, 1.90907, 0.211612, 0.808619, 0.887265, 4.83371e+06
160, 48, 48, 1.75325, 0.244813, 0.706217, 0.80204, 4.83371e+06
100, 2, 48, 1.55791, 0.174622, 0.894163, 0.48859, 3.73792e+06
100, 48, 48, 1.61419, 0.207189, 0.695992, 0.710731, 3.73792e+06
160, 2, 48, 2.08505, 0.219341, 0.869077, 0.995646, 4.83371e+06
160, 48, 48, 1.37952, 0.230038, 0.702622, 0.446687, 4.83371e+06
100, 2, 56, 1.48686, 0.138149, 0.632115, 0.716086, 3.73792e+06
100, 56, 56, 1.38315, 0.217006, 0.705702, 0.460215, 3.73792e+06
160, 2, 56, 1.9122, 0.180842, 0.707155, 1.02266, 4.83371e+06
160, 56, 56, 1.42636, 0.24382, 0.630915, 0.551372, 4.83371e+06
100, 2, 56, 1.48628, 0.140117, 0.637806, 0.707808, 3.73792e+06
100, 56, 56, 1.69619, 0.207712, 0.589675, 0.898494, 3.73792e+06
160, 2, 56, 1.43184, 0.17717, 0.698489, 0.554929, 4.83371e+06
160, 56, 56, 2.02371, 0.243902, 0.620349, 1.15932, 4.83371e+06
100, 2, 56, 1.53864, 0.141276, 0.643292, 0.753316, 3.73792e+06
100, 56, 56, 1.37271, 0.206847, 0.596771, 0.568845, 3.73792e+06
160, 2, 56, 1.55134, 0.178064, 0.704768, 0.667076, 4.83371e+06
160, 56, 56, 1.7231, 0.244653, 0.627732, 0.850406, 4.83371e+06
100, 2, 56, 1.5336, 0.143854, 0.635209, 0.754014, 3.73792e+06
100, 56, 56, 1.25326, 0.206642, 0.601805, 0.44442, 3.73792e+06
160, 2, 56, 1.69528, 0.177515, 0.700736, 0.815908, 4.83371e+06
160, 56, 56, 1.44734, 0.239585, 0.633673, 0.573604, 4.83371e+06
100, 2, 56, 1.54395, 0.139846, 0.63615, 0.767338, 3.73792e+06
100, 56, 56, 2.08434, 0.205298, 0.613975, 1.26486, 3.73792e+06
160, 2, 56, 1.52504, 0.177906, 0.702309, 0.643246, 4.83371e+06
160, 56, 56, 1.5725, 0.245996, 0.628404, 0.69777, 4.83371e+06
100, 2, 64, 1.27216, 0.144356, 0.590335, 0.536806, 3.73792e+06
100, 64, 64, 1.73673, 0.226312, 0.533778, 0.976576, 3.73792e+06
160, 2, 64, 1.36613, 0.1917, 0.659881, 0.51378, 4.83371e+06
160, 64, 64, 1.53159, 0.261605, 0.572742, 0.697158, 4.83371e+06
100, 2, 64, 1.40615, 0.138789, 0.59101, 0.67579, 3.73792e+06
100, 64, 64, 1.12551, 0.231122, 0.535142, 0.358981, 3.73792e+06
160, 2, 64, 1.87259, 0.188291, 0.653743, 1.03005, 4.83371e+06
160, 64, 64, 1.8679, 0.258337, 0.581555, 1.02793, 4.83371e+06
100, 2, 64, 1.26078, 0.14152, 0.588073, 0.530506, 3.73792e+06
100, 64, 64, 1.51107, 0.226744, 0.552419, 0.731831, 3.73792e+06
160, 2, 64, 1.93601, 0.190023, 0.656646, 1.08885, 4.83371e+06
160, 64, 64, 1.15339, 0.256788, 0.568045, 0.328451, 4.83371e+06
100, 2, 64, 1.38462, 0.141332, 0.587711, 0.655025, 3.73792e+06
100, 64, 64, 1.14197, 0.225884, 0.546612, 0.369385, 3.73792e+06
160, 2, 64, 1.47162, 0.187014, 0.664852, 0.61924, 4.83371e+06
160, 64, 64, 1.35571, 0.256737, 0.566635, 0.53223, 4.83371e+06
100, 2, 64, 1.6349, 0.140412, 0.602687, 0.891228, 3.73792e+06
100, 64, 64, 1.31776, 0.226883, 0.532915, 0.557866, 3.73792e+06
160, 2, 64, 1.54712, 0.18768, 0.654294, 0.704195, 4.83371e+06
160, 64, 64, 1.59194, 0.25826, 0.567099, 0.766494, 4.83371e+06
100, 2, 72, 1.50514, 0.180197, 0.567711, 0.756323, 3.73792e+06
100, 72, 72, 1.17162, 0.236585, 0.487965, 0.44695, 3.73792e+06
160, 2, 72, 1.39701, 0.227714, 0.643462, 0.524571, 4.83371e+06
160, 72, 72, 1.16503, 0.273133, 0.525522, 0.366288, 4.83371e+06
100, 2, 72, 1.53173, 0.17917, 0.566694, 0.785232, 3.73792e+06
100, 72, 72, 1.36099, 0.236156, 0.60898, 0.515771, 3.73792e+06
160, 2, 72, 1.90871, 0.225785, 0.666759, 1.01503, 4.83371e+06
160, 72, 72, 1.44297, 0.284301, 0.523975, 0.63439, 4.83371e+06
100, 2, 72, 1.35069, 0.179978, 0.569432, 0.600389, 3.73792e+06
100, 72, 72, 1.39466, 0.235432, 0.487268, 0.67181, 3.73792e+06
160, 2, 72, 1.88573, 0.229499, 0.658916, 0.996237, 4.83371e+06
160, 72, 72, 1.31381, 0.275683, 0.525409, 0.512383, 4.83371e+06
100, 2, 72, 1.3336, 0.178749, 0.566404, 0.587747, 3.73792e+06
100, 72, 72, 1.1471, 0.237978, 0.510712, 0.39826, 3.73792e+06
160, 2, 72, 1.56984, 0.229938, 0.647992, 0.690641, 4.83371e+06
160, 72, 72, 1.49349, 0.276447, 0.529506, 0.687417, 4.83371e+06
100, 2, 72, 1.21333, 0.178843, 0.570244, 0.463545, 3.73792e+06
100, 72, 72, 1.19222, 0.241019, 0.492285, 0.458787, 3.73792e+06
160, 2, 72, 1.48076, 0.226089, 0.672451, 0.580656, 4.83371e+06
160, 72, 72, 1.59368, 0.272899, 0.532363, 0.788053, 4.83371e+06
100, 2, 80, 1.22515, 0.170365, 0.527803, 0.525817, 3.73792e+06
100, 80, 80, 1.04971, 0.254273, 0.457425, 0.337925, 3.73792e+06
160, 2, 80, 1.31684, 0.219986, 0.598298, 0.497458, 4.83371e+06
160, 80, 80, 1.55666, 0.284784, 0.499458, 0.772302, 4.83371e+06
100, 2, 80, 1.0916, 0.175427, 0.524235, 0.390872, 3.73792e+06
100, 80, 80, 1.19584, 0.254984, 0.460853, 0.479846, 3.73792e+06
160, 2, 80, 1.2003, 0.220855, 0.599712, 0.378492, 4.83371e+06
160, 80, 80, 1.21926, 0.284889, 0.501445, 0.432795, 4.83371e+06
100, 2, 80, 1.20637, 0.175504, 0.547119, 0.482555, 3.73792e+06
100, 80, 80, 1.10252, 0.253308, 0.459027, 0.390027, 3.73792e+06
160, 2, 80, 1.23876, 0.222085, 0.596582, 0.418395, 4.83371e+06
160, 80, 80, 1.18096, 0.288754, 0.501041, 0.391045, 4.83371e+06
100, 2, 80, 1.31058, 0.174877, 0.522084, 0.612536, 3.73792e+06
100, 80, 80, 1.03749, 0.247893, 0.475286, 0.314145, 3.73792e+06
160, 2, 80, 1.56288, 0.222523, 0.597251, 0.741603, 4.83371e+06
160, 80, 80, 1.06323, 0.287417, 0.498674, 0.276761, 4.83371e+06
100, 2, 80, 1.37086, 0.175538, 0.520049, 0.673686, 3.73792e+06
100, 80, 80, 1.45172, 0.271532, 0.472801, 0.707228, 3.73792e+06
160, 2, 80, 1.75508, 0.221361, 0.597086, 0.935223, 4.83371e+06
160, 80, 80, 1.55477, 0.292163, 0.502902, 0.759565, 4.83371e+06
100, 2, 88, 1.31758, 0.167689, 0.49169, 0.658091, 3.73792e+06
100, 88, 88, 1.40467, 0.260157, 0.446196, 0.69831, 3.73792e+06
160, 2, 88, 1.17771, 0.212402, 0.569281, 0.394554, 4.83371e+06
160, 88, 88, 1.25408, 0.301992, 0.468403, 0.483682, 4.83371e+06
100, 2, 88, 1.04423, 0.170232, 0.492607, 0.380875, 3.73792e+06
100, 88, 88, 0.956612, 0.267474, 0.432308, 0.256826, 3.73792e+06
160, 2, 88, 1.1727, 0.212434, 0.570103, 0.389199, 4.83371e+06
160, 88, 88, 1.06928, 0.300728, 0.482913, 0.285632, 4.83371e+06
100, 2, 88, 1.10684, 0.173576, 0.499877, 0.43292, 3.73792e+06
100, 88, 88, 1.07517, 0.262993, 0.445057, 0.367118, 3.73792e+06
160, 2, 88, 1.1234, 0.215099, 0.568157, 0.339529, 4.83371e+06
